# This file should contain all the redirects in the documentation
# in the format `<old_path>,<new_path>`

# whatsnew
whatsnew,whatsnew/index
generated/pandas.Series.rfloordiv,../reference/api/pandas.Series.rfloordiv
generated/pandas.Series.rmod,../reference/api/pandas.Series.rmod
generated/pandas.Series.rmul,../reference/api/pandas.Series.rmul
generated/pandas.Series.rolling,../reference/api/pandas.Series.rolling
generated/pandas.Series.round,../reference/api/pandas.Series.round
generated/pandas.Series.rpow,../reference/api/pandas.Series.rpow
generated/pandas.Series.rsub,../reference/api/pandas.Series.rsub
generated/pandas.Series.rtruediv,../reference/api/pandas.Series.rtruediv
generated/pandas.Series.sample,../reference/api/pandas.Series.sample
generated/pandas.Series.searchsorted,../reference/api/pandas.Series.searchsorted
generated/pandas.Series.select,../reference/api/pandas.Series.select
generated/pandas.Series.sem,../reference/api/pandas.Series.sem
generated/pandas.Series.set_axis,../reference/api/pandas.Series.set_axis
generated/pandas.Series.set_value,../reference/api/pandas.Series.set_value
generated/pandas.Series.shape,../reference/api/pandas.Series.shape
generated/pandas.Series.shift,../reference/api/pandas.Series.shift
generated/pandas.Series.size,../reference/api/pandas.Series.size
generated/pandas.Series.skew,../reference/api/pandas.Series.skew
generated/pandas.Series.slice_shift,../reference/api/pandas.Series.slice_shift
generated/pandas.Series.sort_index,../reference/api/pandas.Series.sort_index
generated/pandas.Series.sort_values,../reference/api/pandas.Series.sort_values
generated/pandas.Series.sparse.density,../reference/api/pandas.Series.sparse.density
generated/pandas.Series.sparse.fill_value,../reference/api/pandas.Series.sparse.fill_value
generated/pandas.Series.sparse.from_coo,../reference/api/pandas.Series.sparse.from_coo
generated/pandas.Series.sparse.npoints,../reference/api/pandas.Series.sparse.npoints
generated/pandas.Series.sparse.sp_values,../reference/api/pandas.Series.sparse.sp_values
generated/pandas.Series.sparse.to_coo,../reference/api/pandas.Series.sparse.to_coo
generated/pandas.Series.squeeze,../reference/api/pandas.Series.squeeze
generated/pandas.Series.std,../reference/api/pandas.Series.std
generated/pandas.Series.str.capitalize,../reference/api/pandas.Series.str.capitalize
generated/pandas.Series.str.cat,../reference/api/pandas.Series.str.cat
generated/pandas.Series.str.center,../reference/api/pandas.Series.str.center
generated/pandas.Series.str.contains,../reference/api/pandas.Series.str.contains
generated/pandas.Series.str.count,../reference/api/pandas.Series.str.count
generated/pandas.Series.str.decode,../reference/api/pandas.Series.str.decode
generated/pandas.Series.str.encode,../reference/api/pandas.Series.str.encode
generated/pandas.Series.str.endswith,../reference/api/pandas.Series.str.endswith
generated/pandas.Series.str.extractall,../reference/api/pandas.Series.str.extractall
generated/pandas.Series.str.extract,../reference/api/pandas.Series.str.extract
generated/pandas.Series.str.findall,../reference/api/pandas.Series.str.findall
generated/pandas.Series.str.find,../reference/api/pandas.Series.str.find
generated/pandas.Series.str.get_dummies,../reference/api/pandas.Series.str.get_dummies
generated/pandas.Series.str.get,../reference/api/pandas.Series.str.get
generated/pandas.Series.str,../reference/api/pandas.Series.str
generated/pandas.Series.str.index,../reference/api/pandas.Series.str.index
generated/pandas.Series.str.isalnum,../reference/api/pandas.Series.str.isalnum
generated/pandas.Series.str.isalpha,../reference/api/pandas.Series.str.isalpha
generated/pandas.Series.str.isdecimal,../reference/api/pandas.Series.str.isdecimal
generated/pandas.Series.str.isdigit,../reference/api/pandas.Series.str.isdigit
generated/pandas.Series.str.islower,../reference/api/pandas.Series.str.islower
generated/pandas.Series.str.isnumeric,../reference/api/pandas.Series.str.isnumeric
generated/pandas.Series.str.isspace,../reference/api/pandas.Series.str.isspace
generated/pandas.Series.str.istitle,../reference/api/pandas.Series.str.istitle
generated/pandas.Series.str.isupper,../reference/api/pandas.Series.str.isupper
generated/pandas.Series.str.join,../reference/api/pandas.Series.str.join
generated/pandas.Series.str.len,../reference/api/pandas.Series.str.len
generated/pandas.Series.str.ljust,../reference/api/pandas.Series.str.ljust
generated/pandas.Series.str.lower,../reference/api/pandas.Series.str.lower
generated/pandas.Series.str.lstrip,../reference/api/pandas.Series.str.lstrip
generated/pandas.Series.str.match,../reference/api/pandas.Series.str.match
generated/pandas.Series.str.normalize,../reference/api/pandas.Series.str.normalize
generated/pandas.Series.str.pad,../reference/api/pandas.Series.str.pad
generated/pandas.Series.str.partition,../reference/api/pandas.Series.str.partition
generated/pandas.Series.str.repeat,../reference/api/pandas.Series.str.repeat
generated/pandas.Series.str.replace,../reference/api/pandas.Series.str.replace
generated/pandas.Series.str.rfind,../reference/api/pandas.Series.str.rfind
generated/pandas.Series.str.rindex,../reference/api/pandas.Series.str.rindex
generated/pandas.Series.str.rjust,../reference/api/pandas.Series.str.rjust
generated/pandas.Series.str.rpartition,../reference/api/pandas.Series.str.rpartition
generated/pandas.Series.str.rsplit,../reference/api/pandas.Series.str.rsplit
generated/pandas.Series.str.rstrip,../reference/api/pandas.Series.str.rstrip
generated/pandas.Series.str.slice,../reference/api/pandas.Series.str.slice
generated/pandas.Series.str.slice_replace,../reference/api/pandas.Series.str.slice_replace
generated/pandas.Series.str.split,../reference/api/pandas.Series.str.split
generated/pandas.Series.str.startswith,../reference/api/pandas.Series.str.startswith
generated/pandas.Series.str.strip,../reference/api/pandas.Series.str.strip
generated/pandas.Series.str.swapcase,../reference/api/pandas.Series.str.swapcase
generated/pandas.Series.str.title,../reference/api/pandas.Series.str.title
generated/pandas.Series.str.translate,../reference/api/pandas.Series.str.translate
generated/pandas.Series.str.upper,../reference/api/pandas.Series.str.upper
generated/pandas.Series.str.wrap,../reference/api/pandas.Series.str.wrap
generated/pandas.Series.str.zfill,../reference/api/pandas.Series.str.zfill
generated/pandas.Series.sub,../reference/api/pandas.Series.sub
generated/pandas.Series.subtract,../reference/api/pandas.Series.subtract
generated/pandas.Series.sum,../reference/api/pandas.Series.sum
generated/pandas.Series.swapaxes,../reference/api/pandas.Series.swapaxes
generated/pandas.Series.swaplevel,../reference/api/pandas.Series.swaplevel
generated/pandas.Series.tail,../reference/api/pandas.Series.tail
generated/pandas.Series.take,../reference/api/pandas.Series.take
generated/pandas.Series.T,../reference/api/pandas.Series.T
generated/pandas.Series.timetuple,../reference/api/pandas.Series.timetuple
generated/pandas.Series.to_clipboard,../reference/api/pandas.Series.to_clipboard
generated/pandas.Series.to_csv,../reference/api/pandas.Series.to_csv
generated/pandas.Series.to_dict,../reference/api/pandas.Series.to_dict
generated/pandas.Series.to_excel,../reference/api/pandas.Series.to_excel
generated/pandas.Series.to_frame,../reference/api/pandas.Series.to_frame
generated/pandas.Series.to_hdf,../reference/api/pandas.Series.to_hdf
generated/pandas.Series.to_json,../reference/api/pandas.Series.to_json
generated/pandas.Series.to_latex,../reference/api/pandas.Series.to_latex
generated/pandas.Series.to_list,../reference/api/pandas.Series.to_list
generated/pandas.Series.tolist,../reference/api/pandas.Series.tolist
generated/pandas.Series.to_numpy,../reference/api/pandas.Series.to_numpy
generated/pandas.Series.to_period,../reference/api/pandas.Series.to_period
generated/pandas.Series.to_pickle,../reference/api/pandas.Series.to_pickle
generated/pandas.Series.to_sql,../reference/api/pandas.Series.to_sql
generated/pandas.Series.to_string,../reference/api/pandas.Series.to_string
generated/pandas.Series.to_timestamp,../reference/api/pandas.Series.to_timestamp
generated/pandas.Series.to_xarray,../reference/api/pandas.Series.to_xarray
generated/pandas.Series.transform,../reference/api/pandas.Series.transform
generated/pandas.Series.transpose,../reference/api/pandas.Series.transpose
generated/pandas.Series.truediv,../reference/api/pandas.Series.truediv
generated/pandas.Series.truncate,../reference/api/pandas.Series.truncate
generated/pandas.Series.tshift,../reference/api/pandas.Series.tshift
generated/pandas.Series.tz_convert,../reference/api/pandas.Series.tz_convert
generated/pandas.Series.tz_localize,../reference/api/pandas.Series.tz_localize
generated/pandas.Series.unique,../reference/api/pandas.Series.unique
generated/pandas.Series.unstack,../reference/api/pandas.Series.unstack
generated/pandas.Series.update,../reference/api/pandas.Series.update
generated/pandas.Series.valid,../reference/api/pandas.Series.valid
generated/pandas.Series.value_counts,../reference/api/pandas.Series.value_counts
generated/pandas.Series.values,../reference/api/pandas.Series.values
generated/pandas.Series.var,../reference/api/pandas.Series.var
generated/pandas.Series.view,../reference/api/pandas.Series.view
generated/pandas.Series.where,../reference/api/pandas.Series.where
generated/pandas.Series.xs,../reference/api/pandas.Series.xs
generated/pandas.set_option,../reference/api/pandas.set_option
generated/pandas.SparseDataFrame.to_coo,../reference/api/pandas.SparseDataFrame.to_coo
generated/pandas.SparseSeries.from_coo,../reference/api/pandas.SparseSeries.from_coo
generated/pandas.SparseSeries.to_coo,../reference/api/pandas.SparseSeries.to_coo
generated/pandas.test,../reference/api/pandas.test
generated/pandas.testing.assert_frame_equal,../reference/api/pandas.testing.assert_frame_equal
generated/pandas.testing.assert_index_equal,../reference/api/pandas.testing.assert_index_equal
generated/pandas.testing.assert_series_equal,../reference/api/pandas.testing.assert_series_equal
generated/pandas.Timedelta.asm8,../reference/api/pandas.Timedelta.asm8
generated/pandas.Timedelta.ceil,../reference/api/pandas.Timedelta.ceil
generated/pandas.Timedelta.components,../reference/api/pandas.Timedelta.components
generated/pandas.Timedelta.days,../reference/api/pandas.Timedelta.days
generated/pandas.Timedelta.delta,../reference/api/pandas.Timedelta.delta
generated/pandas.Timedelta.floor,../reference/api/pandas.Timedelta.floor
generated/pandas.Timedelta.freq,../reference/api/pandas.Timedelta.freq
generated/pandas.Timedelta,../reference/api/pandas.Timedelta
generated/pandas.TimedeltaIndex.ceil,../reference/api/pandas.TimedeltaIndex.ceil
generated/pandas.TimedeltaIndex.components,../reference/api/pandas.TimedeltaIndex.components
generated/pandas.TimedeltaIndex.days,../reference/api/pandas.TimedeltaIndex.days
generated/pandas.TimedeltaIndex.floor,../reference/api/pandas.TimedeltaIndex.floor
generated/pandas.TimedeltaIndex,../reference/api/pandas.TimedeltaIndex
generated/pandas.TimedeltaIndex.inferred_freq,../reference/api/pandas.TimedeltaIndex.inferred_freq
generated/pandas.TimedeltaIndex.microseconds,../reference/api/pandas.TimedeltaIndex.microseconds
generated/pandas.TimedeltaIndex.nanoseconds,../reference/api/pandas.TimedeltaIndex.nanoseconds
generated/pandas.TimedeltaIndex.round,../reference/api/pandas.TimedeltaIndex.round
generated/pandas.TimedeltaIndex.seconds,../reference/api/pandas.TimedeltaIndex.seconds
generated/pandas.TimedeltaIndex.to_frame,../reference/api/pandas.TimedeltaIndex.to_frame
generated/pandas.TimedeltaIndex.to_pytimedelta,../reference/api/pandas.TimedeltaIndex.to_pytimedelta
generated/pandas.TimedeltaIndex.to_series,../reference/api/pandas.TimedeltaIndex.to_series
generated/pandas.Timedelta.isoformat,../reference/api/pandas.Timedelta.isoformat
generated/pandas.Timedelta.is_populated,../reference/api/pandas.Timedelta.is_populated
generated/pandas.Timedelta.max,../reference/api/pandas.Timedelta.max
generated/pandas.Timedelta.microseconds,../reference/api/pandas.Timedelta.microseconds
generated/pandas.Timedelta.min,../reference/api/pandas.Timedelta.min
generated/pandas.Timedelta.nanoseconds,../reference/api/pandas.Timedelta.nanoseconds
generated/pandas.timedelta_range,../reference/api/pandas.timedelta_range
generated/pandas.Timedelta.resolution,../reference/api/pandas.Timedelta.resolution
generated/pandas.Timedelta.round,../reference/api/pandas.Timedelta.round
generated/pandas.Timedelta.seconds,../reference/api/pandas.Timedelta.seconds
generated/pandas.Timedelta.to_pytimedelta,../reference/api/pandas.Timedelta.to_pytimedelta
generated/pandas.Timedelta.total_seconds,../reference/api/pandas.Timedelta.total_seconds
generated/pandas.Timedelta.to_timedelta64,../reference/api/pandas.Timedelta.to_timedelta64
generated/pandas.Timedelta.value,../reference/api/pandas.Timedelta.value
generated/pandas.Timedelta.view,../reference/api/pandas.Timedelta.view
generated/pandas.Timestamp.asm8,../reference/api/pandas.Timestamp.asm8
generated/pandas.Timestamp.astimezone,../reference/api/pandas.Timestamp.astimezone
generated/pandas.Timestamp.ceil,../reference/api/pandas.Timestamp.ceil
generated/pandas.Timestamp.combine,../reference/api/pandas.Timestamp.combine
generated/pandas.Timestamp.ctime,../reference/api/pandas.Timestamp.ctime
generated/pandas.Timestamp.date,../reference/api/pandas.Timestamp.date
generated/pandas.Timestamp.day,../reference/api/pandas.Timestamp.day
generated/pandas.Timestamp.day_name,../reference/api/pandas.Timestamp.day_name
generated/pandas.Timestamp.dayofweek,../reference/api/pandas.Timestamp.dayofweek
generated/pandas.Timestamp.dayofyear,../reference/api/pandas.Timestamp.dayofyear
generated/pandas.Timestamp.days_in_month,../reference/api/pandas.Timestamp.days_in_month
generated/pandas.Timestamp.daysinmonth,../reference/api/pandas.Timestamp.daysinmonth
generated/pandas.Timestamp.dst,../reference/api/pandas.Timestamp.dst
generated/pandas.Timestamp.floor,../reference/api/pandas.Timestamp.floor
generated/pandas.Timestamp.fold,../reference/api/pandas.Timestamp.fold
generated/pandas.Timestamp.freq,../reference/api/pandas.Timestamp.freq
generated/pandas.Timestamp.freqstr,../reference/api/pandas.Timestamp.freqstr
generated/pandas.Timestamp.fromisoformat,../reference/api/pandas.Timestamp.fromisoformat
generated/pandas.Timestamp.fromordinal,../reference/api/pandas.Timestamp.fromordinal
generated/pandas.Timestamp.fromtimestamp,../reference/api/pandas.Timestamp.fromtimestamp
generated/pandas.Timestamp.hour,../reference/api/pandas.Timestamp.hour
generated/pandas.Timestamp,../reference/api/pandas.Timestamp
generated/pandas.Timestamp.is_leap_year,../reference/api/pandas.Timestamp.is_leap_year
generated/pandas.Timestamp.is_month_end,../reference/api/pandas.Timestamp.is_month_end
generated/pandas.Timestamp.is_month_start,../reference/api/pandas.Timestamp.is_month_start
generated/pandas.Timestamp.isocalendar,../reference/api/pandas.Timestamp.isocalendar
generated/pandas.Timestamp.isoformat,../reference/api/pandas.Timestamp.isoformat
generated/pandas.Timestamp.isoweekday,../reference/api/pandas.Timestamp.isoweekday
generated/pandas.Timestamp.is_quarter_end,../reference/api/pandas.Timestamp.is_quarter_end
generated/pandas.Timestamp.is_quarter_start,../reference/api/pandas.Timestamp.is_quarter_start
generated/pandas.Timestamp.is_year_end,../reference/api/pandas.Timestamp.is_year_end
generated/pandas.Timestamp.is_year_start,../reference/api/pandas.Timestamp.is_year_start
generated/pandas.Timestamp.max,../reference/api/pandas.Timestamp.max
generated/pandas.Timestamp.microsecond,../reference/api/pandas.Timestamp.microsecond
generated/pandas.Timestamp.min,../reference/api/pandas.Timestamp.min
generated/pandas.Timestamp.minute,../reference/api/pandas.Timestamp.minute
generated/pandas.Timestamp.month,../reference/api/pandas.Timestamp.month
generated/pandas.Timestamp.month_name,../reference/api/pandas.Timestamp.month_name
generated/pandas.Timestamp.nanosecond,../reference/api/pandas.Timestamp.nanosecond
generated/pandas.Timestamp.normalize,../reference/api/pandas.Timestamp.normalize
generated/pandas.Timestamp.now,../reference/api/pandas.Timestamp.now
generated/pandas.Timestamp.quarter,../reference/api/pandas.Timestamp.quarter
generated/pandas.Timestamp.replace,../reference/api/pandas.Timestamp.replace
generated/pandas.Timestamp.resolution,../reference/api/pandas.Timestamp.resolution
generated/pandas.Timestamp.round,../reference/api/pandas.Timestamp.round
generated/pandas.Timestamp.second,../reference/api/pandas.Timestamp.second
generated/pandas.Timestamp.strftime,../reference/api/pandas.Timestamp.strftime
generated/pandas.Timestamp.strptime,../reference/api/pandas.Timestamp.strptime
generated/pandas.Timestamp.time,../reference/api/pandas.Timestamp.time
generated/pandas.Timestamp.timestamp,../reference/api/pandas.Timestamp.timestamp
generated/pandas.Timestamp.timetuple,../reference/api/pandas.Timestamp.timetuple
generated/pandas.Timestamp.timetz,../reference/api/pandas.Timestamp.timetz
generated/pandas.Timestamp.to_datetime64,../reference/api/pandas.Timestamp.to_datetime64
generated/pandas.Timestamp.today,../reference/api/pandas.Timestamp.today
generated/pandas.Timestamp.to_julian_date,../reference/api/pandas.Timestamp.to_julian_date
generated/pandas.Timestamp.toordinal,../reference/api/pandas.Timestamp.toordinal
generated/pandas.Timestamp.to_period,../reference/api/pandas.Timestamp.to_period
generated/pandas.Timestamp.to_pydatetime,../reference/api/pandas.Timestamp.to_pydatetime
generated/pandas.Timestamp.tz_convert,../reference/api/pandas.Timestamp.tz_convert
generated/pandas.Timestamp.tz,../reference/api/pandas.Timestamp.tz
generated/pandas.Timestamp.tzinfo,../reference/api/pandas.Timestamp.tzinfo
generated/pandas.Timestamp.tz_localize,../reference/api/pandas.Timestamp.tz_localize
generated/pandas.Timestamp.tzname,../reference/api/pandas.Timestamp.tzname
generated/pandas.Timestamp.utcfromtimestamp,../reference/api/pandas.Timestamp.utcfromtimestamp
generated/pandas.Timestamp.utcnow,../reference/api/pandas.Timestamp.utcnow
generated/pandas.Timestamp.utcoffset,../reference/api/pandas.Timestamp.utcoffset
generated/pandas.Timestamp.utctimetuple,../reference/api/pandas.Timestamp.utctimetuple
generated/pandas.Timestamp.value,../reference/api/pandas.Timestamp.value
generated/pandas.Timestamp.weekday,../reference/api/pandas.Timestamp.weekday
generated/pandas.Timestamp.weekday_name,../reference/api/pandas.Timestamp.weekday_name
generated/pandas.Timestamp.week,../reference/api/pandas.Timestamp.week
generated/pandas.Timestamp.weekofyear,../reference/api/pandas.Timestamp.weekofyear
generated/pandas.Timestamp.year,../reference/api/pandas.Timestamp.year
generated/pandas.to_datetime,../reference/api/pandas.to_datetime
generated/pandas.to_numeric,../reference/api/pandas.to_numeric
generated/pandas.to_timedelta,../reference/api/pandas.to_timedelta
generated/pandas.tseries.frequencies.to_offset,../reference/api/pandas.tseries.frequencies.to_offset
generated/pandas.unique,../reference/api/pandas.unique
generated/pandas.util.hash_array,../reference/api/pandas.util.hash_array
generated/pandas.util.hash_pandas_object,../reference/api/pandas.util.hash_pandas_object
generated/pandas.wide_to_long,../reference/api/pandas.wide_to_long

# Cached searches
reference/api/pandas.DataFrame.from_csv,pandas.read_csv
